"loan_status","loan_amnt","grade","home_ownership","annual_inc","age","emp_cat","ir_cat"
0,14000,"B","MORTGAGE",145000,26,"0-15","8-11"
0,6000,"A","RENT",75000,23,"0-15","0-8"
0,7000,"A","MORTGAGE",53160,23,"Missing","0-8"
0,11000,"A","MORTGAGE",62400,26,"45+","Missing"
0,1400,"A","MORTGAGE",40000,29,"0-15","0-8"
0,5000,"C","RENT",60000,24,"0-15","13.5+"
0,6000,"A","MORTGAGE",47000,27,"0-15","0-8"
0,7000,"B","MORTGAGE",25000,30,"Missing","8-11"
0,9000,"A","MORTGAGE",55000,41,"15-30","0-8"
0,10200,"C","RENT",100000,24,"0-15","11-13.5"
1,18000,"C","MORTGAGE",70000,28,"15-30","11-13.5"
0,11000,"B","MORTGAGE",47110,24,"0-15","8-11"
0,6000,"A","MORTGAGE",64000,22,"0-15","Missing"
0,4000,"C","MORTGAGE",64800,23,"0-15","13.5+"
0,8000,"C","RENT",48000,23,"Missing","11-13.5"
1,9000,"A","MORTGAGE",76000,28,"0-15","0-8"
0,6250,"A","MORTGAGE",34800,38,"0-15","0-8"
0,7500,"A","MORTGAGE",125000,28,"0-15","0-8"
1,8000,"B","MORTGAGE",62000,29,"0-15","11-13.5"
0,2500,"B","OWN",36000,29,"0-15","8-11"
0,1750,"A","MORTGAGE",87000,22,"0-15","0-8"
0,12000,"B","MORTGAGE",55000,30,"0-15","Missing"
0,7000,"A","RENT",45000,27,"0-15","0-8"
0,5000,"D","MORTGAGE",60000,26,"0-15","13.5+"
0,7200,"E","OWN",41496,23,"0-15","Missing"
0,7350,"C","MORTGAGE",53000,22,"15-30","13.5+"
0,4000,"B","RENT",40000,38,"0-15","11-13.5"
1,5000,"B","RENT",19200,25,"0-15","8-11"
0,6600,"C","MORTGAGE",37200,30,"0-15","11-13.5"
0,35000,"A","RENT",77100,33,"0-15","8-11"
0,1000,"E","MORTGAGE",50300,25,"0-15","13.5+"
0,5300,"B","MORTGAGE",71000,33,"0-15","11-13.5"
0,4200,"A","RENT",30000,42,"0-15","0-8"
1,15000,"D","RENT",54000,25,"0-15","13.5+"
0,3000,"B","MORTGAGE",67000,44,"30-45","Missing"
0,10000,"B","RENT",40000,24,"0-15","11-13.5"
0,17000,"B","RENT",95000,26,"15-30","11-13.5"
0,15000,"B","MORTGAGE",87000,29,"0-15","8-11"
0,2700,"B","OWN",80000,25,"15-30","8-11"
1,6000,"D","MORTGAGE",27600,24,"0-15","13.5+"
0,11000,"A","RENT",38400,29,"0-15","0-8"
0,7000,"C","OWN",58800,32,"15-30","13.5+"
0,6000,"A","MORTGAGE",112445,32,"0-15","0-8"
0,19000,"A","RENT",62004,26,"0-15","0-8"
0,10000,"D","MORTGAGE",110000,24,"0-15","13.5+"
1,2000,"B","RENT",50000,27,"0-15","11-13.5"
0,5000,"A","RENT",42000,41,"0-15","0-8"
0,15000,"A","MORTGAGE",100000,22,"0-15","0-8"
0,9425,"B","RENT",72800,28,"0-15","11-13.5"
0,12000,"A","MORTGAGE",55000,31,"0-15","0-8"
0,12000,"A","OWN",80000,24,"0-15","0-8"
0,12000,"D","MORTGAGE",56400,25,"0-15","13.5+"
0,18000,"B","MORTGAGE",95000,25,"0-15","8-11"
0,4000,"C","MORTGAGE",80000,23,"0-15","13.5+"
0,5000,"B","MORTGAGE",60000,28,"0-15","Missing"
0,12000,"B","RENT",60000,30,"0-15","8-11"
0,6000,"A","RENT",59000,48,"0-15","0-8"
0,8800,"B","OWN",55600,32,"0-15","8-11"
0,10000,"B","MORTGAGE",140000,22,"0-15","8-11"
0,8400,"B","RENT",56000,23,"0-15","8-11"
1,4800,"E","RENT",58000,26,"0-15","13.5+"
0,8800,"A","RENT",48000,29,"0-15","8-11"
0,11025,"B","RENT",60000,39,"0-15","8-11"
0,20400,"B","RENT",72000,29,"0-15","11-13.5"
1,17725,"B","RENT",38220,27,"0-15","11-13.5"
0,3000,"A","RENT",25000,28,"0-15","0-8"
0,8000,"C","MORTGAGE",75000,24,"15-30","13.5+"
0,18000,"B","RENT",54000,29,"0-15","8-11"
0,1925,"C","MORTGAGE",36000,28,"15-30","13.5+"
0,2100,"D","RENT",9600,25,"0-15","13.5+"
0,16000,"B","RENT",45000,22,"0-15","8-11"
0,5000,"A","MORTGAGE",79200,23,"15-30","0-8"
1,18300,"B","MORTGAGE",74900,24,"0-15","8-11"
0,3000,"B","RENT",52000,24,"0-15","11-13.5"
0,1500,"B","RENT",34942,25,"0-15","8-11"
0,6400,"D","RENT",75000,25,"0-15","13.5+"
0,15000,"A","MORTGAGE",90000,25,"0-15","8-11"
0,3000,"C","OWN",49000,25,"0-15","Missing"
0,8000,"A","RENT",86000,28,"0-15","0-8"
0,15000,"A","MORTGAGE",110000,27,"0-15","Missing"
0,10000,"A","MORTGAGE",325000,31,"0-15","0-8"
0,1450,"A","MORTGAGE",45600,27,"0-15","8-11"
0,10000,"C","MORTGAGE",70000,23,"0-15","13.5+"
0,6000,"B","RENT",63000,22,"15-30","11-13.5"
0,9600,"C","MORTGAGE",60000,24,"0-15","11-13.5"
0,12000,"B","RENT",40000,38,"15-30","8-11"
0,6000,"B","RENT",67000,27,"0-15","8-11"
0,10000,"A","RENT",33000,23,"0-15","0-8"
0,8000,"D","MORTGAGE",120000,28,"0-15","13.5+"
0,2300,"C","RENT",30000,39,"0-15","13.5+"
0,14400,"A","RENT",57000,24,"0-15","0-8"
1,13250,"C","MORTGAGE",36000,21,"0-15","13.5+"
0,12250,"B","RENT",28800,28,"0-15","8-11"
0,6000,"C","RENT",24000,24,"Missing","11-13.5"
1,6000,"C","MORTGAGE",54902.52,25,"30-45","13.5+"
0,5000,"C","OWN",105000,23,"0-15","Missing"
1,10000,"B","MORTGAGE",43000,24,"0-15","Missing"
1,3000,"B","MORTGAGE",48000,25,"0-15","11-13.5"
0,12000,"B","RENT",39000,23,"0-15","8-11"
0,6000,"A","MORTGAGE",106000,33,"0-15","8-11"
0,5000,"A","MORTGAGE",28800,21,"0-15","0-8"
0,5600,"A","MORTGAGE",115000,23,"0-15","0-8"
0,10000,"A","MORTGAGE",68000,22,"15-30","0-8"
0,4000,"B","RENT",21000,27,"0-15","11-13.5"
0,2200,"A","RENT",22000,24,"Missing","Missing"
0,1000,"C","MORTGAGE",28000,21,"0-15","11-13.5"
0,5000,"C","MORTGAGE",60000,23,"0-15","11-13.5"
0,9000,"D","OWN",55000,24,"0-15","13.5+"
0,35000,"B","MORTGAGE",79750,35,"0-15","11-13.5"
0,2500,"A","MORTGAGE",220000,29,"0-15","0-8"
1,10000,"A","RENT",25000,21,"0-15","Missing"
0,15000,"C","RENT",65000,25,"0-15","11-13.5"
1,4000,"C","OWN",24000,27,"0-15","11-13.5"
0,2000,"B","MORTGAGE",91200,29,"30-45","11-13.5"
0,3000,"A","MORTGAGE",65500,41,"0-15","Missing"
0,18600,"A","MORTGAGE",82305,26,"0-15","0-8"
0,5525,"A","MORTGAGE",67200,23,"0-15","0-8"
1,1200,"B","OWN",30480,37,"0-15","11-13.5"
0,7000,"C","MORTGAGE",42000,21,"0-15","13.5+"
0,7200,"A","RENT",60000,24,"0-15","8-11"
1,3000,"B","MORTGAGE",49000,24,"0-15","8-11"
0,23000,"B","RENT",65000,24,"0-15","11-13.5"
0,6000,"B","RENT",46151.04,24,"0-15","8-11"
0,12500,"B","RENT",60000,24,"0-15","11-13.5"
0,1800,"A","RENT",9600,30,"Missing","0-8"
0,2500,"A","MORTGAGE",70000,56,"15-30","0-8"
0,18000,"A","RENT",84000,52,"0-15","8-11"
0,3500,"A","RENT",20400,22,"0-15","0-8"
0,8000,"B","RENT",42000,24,"0-15","Missing"
0,6400,"C","RENT",30000,23,"0-15","Missing"
0,12000,"A","OWN",31000,25,"0-15","Missing"
0,24000,"E","RENT",65000,23,"0-15","13.5+"
0,3000,"B","RENT",55500,22,"0-15","8-11"
0,25000,"B","OWN",125000,25,"15-30","8-11"
0,20000,"B","RENT",76500,50,"0-15","11-13.5"
0,20000,"B","RENT",160000,26,"0-15","8-11"
0,9200,"B","RENT",50000,49,"0-15","Missing"
0,19000,"A","MORTGAGE",100000,31,"15-30","8-11"
0,2800,"A","MORTGAGE",85000,25,"0-15","0-8"
0,2200,"A","MORTGAGE",175000,35,"0-15","8-11"
1,25475,"B","RENT",60000,22,"0-15","8-11"
0,4000,"A","MORTGAGE",60000,25,"0-15","Missing"
1,3075,"D","MORTGAGE",28000,36,"0-15","13.5+"
0,8000,"C","OWN",96000,23,"0-15","11-13.5"
0,12000,"D","RENT",75000,24,"15-30","Missing"
0,6400,"D","MORTGAGE",150000,26,"0-15","13.5+"
0,4000,"A","RENT",36000,22,"0-15","0-8"
0,3500,"C","RENT",38400,22,"0-15","13.5+"
0,1800,"D","OWN",35000,38,"0-15","13.5+"
0,5000,"B","MORTGAGE",67200,22,"0-15","8-11"
0,10000,"E","MORTGAGE",48960,24,"0-15","13.5+"
0,21000,"B","MORTGAGE",136000,40,"0-15","8-11"
0,10000,"A","MORTGAGE",60000,21,"0-15","0-8"
1,10000,"A","MORTGAGE",72000,28,"0-15","8-11"
0,15175,"F","RENT",75000,35,"0-15","13.5+"
0,1800,"A","MORTGAGE",60000,25,"0-15","8-11"
0,5700,"A","RENT",11476,24,"0-15","0-8"
0,12000,"A","MORTGAGE",100000,31,"0-15","0-8"
0,10000,"A","MORTGAGE",45992,23,"0-15","0-8"
0,14000,"A","MORTGAGE",71000,32,"0-15","0-8"
0,5000,"B","RENT",28800,32,"15-30","8-11"
0,10000,"A","MORTGAGE",84000,31,"0-15","0-8"
0,19000,"B","RENT",47000,25,"0-15","11-13.5"
0,15000,"A","MORTGAGE",56000,28,"0-15","0-8"
0,6600,"B","MORTGAGE",66000,25,"0-15","11-13.5"
0,4100,"B","RENT",48000,22,"0-15","11-13.5"
0,9450,"B","MORTGAGE",78000,35,"0-15","8-11"
1,7500,"B","MORTGAGE",45500,31,"0-15","11-13.5"
0,12000,"A","RENT",125000,26,"0-15","0-8"
0,7500,"A","MORTGAGE",31000,21,"15-30","0-8"
0,5600,"B","RENT",60000,29,"0-15","8-11"
0,9000,"A","MORTGAGE",75000,21,"0-15","0-8"
0,11400,"C","RENT",60000,23,"0-15","13.5+"
0,12000,"E","RENT",129005,30,"0-15","13.5+"
1,5000,"A","RENT",40000,39,"0-15","8-11"
1,2800,"F","RENT",23000,22,"0-15","13.5+"
0,30000,"D","MORTGAGE",125004,30,"0-15","13.5+"
0,9000,"A","OWN",69000,23,"0-15","0-8"
0,9500,"C","OWN",33600,33,"0-15","11-13.5"
0,3825,"A","MORTGAGE",35000,23,"0-15","0-8"
0,28000,"A","MORTGAGE",130000,32,"0-15","8-11"
0,7200,"A","MORTGAGE",29000,26,"30-45","8-11"
1,3000,"B","MORTGAGE",25000,22,"0-15","8-11"
0,5425,"B","RENT",22718,22,"0-15","11-13.5"
0,4000,"C","RENT",30000,30,"0-15","13.5+"
1,1500,"C","RENT",17000,41,"0-15","13.5+"
0,30000,"A","MORTGAGE",144000,28,"15-30","Missing"
0,5000,"A","RENT",60000,23,"0-15","0-8"
0,15000,"A","RENT",51500,24,"0-15","8-11"
0,5000,"A","OWN",50000,30,"0-15","0-8"
0,7500,"B","MORTGAGE",62000,31,"0-15","8-11"
0,3200,"A","MORTGAGE",76200,30,"0-15","8-11"
0,5000,"A","RENT",36100,23,"0-15","0-8"
0,3600,"D","MORTGAGE",126000,22,"15-30","13.5+"
0,3600,"A","RENT",30000,24,"0-15","0-8"
1,3000,"C","OWN",57600,27,"Missing","11-13.5"
0,4800,"A","RENT",45840,24,"0-15","0-8"
0,14000,"C","OWN",49000,31,"15-30","13.5+"
0,16000,"C","RENT",45000,41,"0-15","11-13.5"
0,4000,"A","RENT",50000,24,"0-15","0-8"
0,4800,"C","RENT",80000,69,"0-15","13.5+"
0,7000,"B","RENT",35000,26,"0-15","8-11"
1,3025,"B","MORTGAGE",76793,27,"15-30","8-11"
0,6000,"B","RENT",55000,23,"0-15","8-11"
1,13000,"B","MORTGAGE",40000,23,"0-15","8-11"
0,24000,"E","RENT",110000,29,"0-15","13.5+"
0,23000,"B","MORTGAGE",84000,23,"0-15","11-13.5"
0,6000,"B","MORTGAGE",36852,24,"Missing","8-11"
0,8000,"A","MORTGAGE",60000,29,"15-30","0-8"
0,10000,"A","RENT",55000,32,"0-15","8-11"
0,4200,"A","MORTGAGE",96000,24,"0-15","0-8"
1,5000,"C","RENT",48000,26,"0-15","13.5+"
0,7875,"B","RENT",47000,28,"0-15","Missing"
0,10000,"B","RENT",42000,23,"0-15","Missing"
0,2000,"C","RENT",22000,23,"0-15","13.5+"
0,3000,"B","RENT",72000,23,"0-15","11-13.5"
0,7000,"C","RENT",65000,30,"15-30","11-13.5"
0,4000,"B","RENT",36000,22,"15-30","Missing"
1,9000,"C","RENT",45512,25,"0-15","13.5+"
0,10000,"A","RENT",60000,30,"0-15","0-8"
0,3325,"D","RENT",55000,38,"0-15","13.5+"
0,6000,"D","RENT",107000,23,"0-15","13.5+"
0,11525,"C","RENT",41000,24,"0-15","11-13.5"
1,1800,"A","RENT",36000,25,"0-15","8-11"
0,20000,"C","MORTGAGE",52000,22,"0-15","13.5+"
0,3000,"F","RENT",29000,25,"0-15","13.5+"
0,8000,"B","MORTGAGE",48000,27,"0-15","8-11"
0,15000,"B","MORTGAGE",50000,23,"0-15","8-11"
0,12000,"B","MORTGAGE",61000,26,"0-15","8-11"
0,4500,"A","MORTGAGE",90000,30,"15-30","0-8"
0,2200,"B","RENT",39000,23,"15-30","8-11"
1,10500,"B","RENT",35000,22,"0-15","8-11"
0,10000,"A","MORTGAGE",115000,36,"0-15","0-8"
0,10000,"D","MORTGAGE",60000,25,"Missing","13.5+"
0,15000,"B","MORTGAGE",64548,29,"0-15","Missing"
1,5600,"B","RENT",42000,33,"0-15","11-13.5"
1,6000,"B","MORTGAGE",71000,21,"15-30","Missing"
0,3200,"B","RENT",31000,23,"0-15","11-13.5"
0,30000,"B","MORTGAGE",106921,23,"0-15","8-11"
0,10000,"A","RENT",55000,25,"0-15","0-8"
0,10400,"A","MORTGAGE",95000,22,"0-15","0-8"
0,7500,"C","MORTGAGE",100000,25,"15-30","13.5+"
0,5600,"A","RENT",81600,25,"0-15","0-8"
0,17000,"A","RENT",62000,25,"0-15","0-8"
1,5000,"D","RENT",65000,25,"0-15","13.5+"
0,2000,"B","OWN",54000,22,"0-15","8-11"
0,7000,"A","MORTGAGE",25500,22,"0-15","0-8"
0,16200,"C","RENT",50000,28,"0-15","13.5+"
1,6125,"A","RENT",120000,32,"15-30","0-8"
0,10000,"A","RENT",43200,27,"0-15","0-8"
0,13675,"A","MORTGAGE",90000,23,"0-15","0-8"
0,15000,"D","MORTGAGE",45000,28,"0-15","13.5+"
0,2000,"A","MORTGAGE",38423,22,"0-15","8-11"
0,5000,"B","RENT",42000,34,"15-30","Missing"
0,12000,"C","OWN",110000,38,"0-15","11-13.5"
0,5000,"B","RENT",50176,28,"0-15","8-11"
0,5500,"A","MORTGAGE",80000,23,"0-15","0-8"
0,8200,"A","RENT",150000,22,"0-15","0-8"
1,7500,"D","MORTGAGE",56000,23,"0-15","13.5+"
0,6000,"C","MORTGAGE",150000,27,"0-15","11-13.5"
0,14000,"B","MORTGAGE",110000,21,"0-15","8-11"
0,1500,"A","RENT",58000,22,"0-15","0-8"
0,17475,"B","RENT",45000,27,"0-15","11-13.5"
0,1500,"C","MORTGAGE",71000,22,"30-45","13.5+"
0,7200,"A","MORTGAGE",78500,23,"30-45","0-8"
0,8500,"C","MORTGAGE",65000,23,"0-15","13.5+"
0,9800,"D","MORTGAGE",136000,23,"0-15","13.5+"
1,15000,"A","MORTGAGE",45600,30,"0-15","0-8"
0,6500,"B","RENT",16800,27,"0-15","11-13.5"
0,3350,"A","MORTGAGE",91992,39,"0-15","0-8"
0,10000,"C","RENT",62000,24,"0-15","11-13.5"
0,6400,"A","OWN",35000,25,"0-15","Missing"
0,6000,"A","MORTGAGE",70000,31,"0-15","0-8"
0,6000,"A","MORTGAGE",47000,23,"0-15","0-8"
0,5600,"C","MORTGAGE",105000,24,"15-30","13.5+"
1,6575,"C","RENT",36000,27,"0-15","11-13.5"
1,7000,"B","RENT",42614,22,"0-15","8-11"
0,12000,"B","RENT",72000,22,"0-15","8-11"
0,5000,"B","RENT",75000,22,"0-15","11-13.5"
0,15000,"B","MORTGAGE",120000,30,"0-15","8-11"
0,5400,"A","RENT",60000,23,"0-15","0-8"
0,3375,"C","RENT",33000,21,"0-15","11-13.5"
1,6000,"C","RENT",27120,33,"Missing","11-13.5"
0,3200,"A","MORTGAGE",48000,25,"0-15","0-8"
0,12225,"A","MORTGAGE",154000,25,"0-15","0-8"
0,5000,"B","MORTGAGE",98000,41,"15-30","8-11"
0,12000,"A","MORTGAGE",95400,21,"0-15","0-8"
0,7550,"B","MORTGAGE",175000,25,"0-15","11-13.5"
0,2000,"B","MORTGAGE",70000,22,"0-15","11-13.5"
0,4500,"B","RENT",72000,58,"0-15","Missing"
0,17600,"B","MORTGAGE",100000,25,"0-15","8-11"
0,8800,"A","MORTGAGE",43000,26,"0-15","0-8"
0,1500,"B","MORTGAGE",15120,21,"0-15","8-11"
0,7000,"B","RENT",89000,25,"0-15","8-11"
0,10000,"D","RENT",90000,30,"15-30","13.5+"
0,6250,"D","RENT",27000,22,"0-15","13.5+"
0,15000,"C","RENT",85100,24,"0-15","Missing"
0,35000,"C","MORTGAGE",215000,23,"15-30","13.5+"
0,10000,"A","MORTGAGE",30000,30,"0-15","0-8"
0,2500,"A","MORTGAGE",81000,28,"0-15","0-8"
0,16000,"C","RENT",40000,23,"0-15","11-13.5"
0,2500,"C","MORTGAGE",56810,26,"15-30","Missing"
0,3000,"A","MORTGAGE",33600,28,"0-15","0-8"
0,13800,"B","RENT",80600,25,"15-30","11-13.5"
0,1800,"A","RENT",35000,29,"0-15","0-8"
0,2500,"A","RENT",48000,28,"0-15","8-11"
1,5900,"A","MORTGAGE",78644,22,"0-15","0-8"
0,12000,"B","RENT",58000,22,"15-30","11-13.5"
0,10000,"A","RENT",40000,24,"0-15","8-11"
0,5000,"B","RENT",50000,23,"0-15","8-11"
0,6000,"A","OWN",125000,26,"15-30","0-8"
0,4000,"A","MORTGAGE",60000,25,"0-15","0-8"
0,14000,"A","OWN",35000,27,"0-15","0-8"
0,25000,"D","MORTGAGE",67100,24,"0-15","13.5+"
1,5000,"C","RENT",41000,21,"0-15","13.5+"
0,3250,"B","MORTGAGE",39000,22,"0-15","8-11"
0,4000,"B","MORTGAGE",55000,29,"0-15","8-11"
0,12000,"B","MORTGAGE",145000,24,"0-15","8-11"
0,3600,"B","RENT",30000,22,"0-15","8-11"
0,4000,"C","MORTGAGE",49000,23,"0-15","13.5+"
0,6200,"A","RENT",20000,26,"0-15","0-8"
0,4000,"B","MORTGAGE",60000,39,"15-30","8-11"
0,4000,"C","RENT",35000,29,"0-15","13.5+"
0,15000,"A","MORTGAGE",78000,23,"0-15","8-11"
0,8400,"D","RENT",52500,23,"0-15","13.5+"
0,5000,"A","MORTGAGE",56000,25,"Missing","0-8"
0,11000,"B","RENT",37440,23,"0-15","Missing"
0,16000,"D","OWN",75000,27,"15-30","13.5+"
0,5975,"B","MORTGAGE",34800,26,"0-15","11-13.5"
0,10000,"C","MORTGAGE",153000,33,"0-15","13.5+"
0,4475,"A","MORTGAGE",140000,24,"0-15","0-8"
0,3000,"A","RENT",48000,29,"0-15","0-8"
0,10000,"D","OWN",28800,22,"0-15","13.5+"
0,8000,"A","MORTGAGE",145000,25,"0-15","8-11"
0,3000,"A","RENT",24000,31,"0-15","0-8"
0,2500,"B","RENT",80000,38,"0-15","8-11"
0,3200,"A","RENT",18000,21,"0-15","8-11"
0,2650,"C","MORTGAGE",52000,22,"0-15","11-13.5"
0,14000,"A","RENT",65000,22,"0-15","0-8"
0,12000,"B","RENT",72000,33,"0-15","11-13.5"
0,35000,"D","MORTGAGE",119000,22,"15-30","13.5+"
1,7425,"B","OWN",71884,56,"0-15","8-11"
0,2000,"C","MORTGAGE",93000,25,"0-15","13.5+"
0,19000,"B","MORTGAGE",105000,23,"0-15","11-13.5"
0,15000,"A","RENT",100000,26,"0-15","0-8"
0,10000,"A","MORTGAGE",62000,22,"0-15","0-8"
0,7300,"A","MORTGAGE",63000,23,"0-15","0-8"
0,3500,"A","MORTGAGE",54000,34,"0-15","0-8"
0,2800,"B","MORTGAGE",60000,22,"0-15","8-11"
0,9000,"B","RENT",83000,23,"0-15","8-11"
0,28000,"D","MORTGAGE",110000,26,"0-15","13.5+"
0,30000,"C","RENT",92004,23,"0-15","13.5+"
1,5000,"B","MORTGAGE",50000,24,"Missing","11-13.5"
0,7200,"A","MORTGAGE",69935,23,"0-15","0-8"
0,16000,"B","RENT",113000,24,"0-15","11-13.5"
0,15650,"F","RENT",44400,24,"0-15","13.5+"
0,4000,"B","RENT",75000,25,"0-15","11-13.5"
0,4750,"B","RENT",60000,30,"0-15","8-11"
1,6000,"C","MORTGAGE",50400,25,"0-15","11-13.5"
0,4375,"A","RENT",50000,23,"0-15","8-11"
0,1400,"B","RENT",18576,27,"0-15","8-11"
0,3000,"A","MORTGAGE",105000,29,"Missing","0-8"
0,10000,"A","MORTGAGE",75000,36,"0-15","0-8"
0,6000,"B","RENT",110000,24,"0-15","Missing"
0,3900,"B","RENT",55000,28,"0-15","11-13.5"
0,6700,"B","MORTGAGE",46000,34,"15-30","Missing"
0,8150,"A","OWN",150750,42,"0-15","0-8"
0,1800,"B","RENT",34000,21,"0-15","11-13.5"
0,18000,"B","MORTGAGE",90000,39,"0-15","8-11"
0,6000,"A","OWN",55316.04,26,"30-45","0-8"
0,5000,"B","OWN",41000,29,"0-15","11-13.5"
0,9000,"B","RENT",40000,22,"0-15","8-11"
0,8000,"B","MORTGAGE",64000,24,"0-15","Missing"
1,13000,"B","RENT",67000,27,"0-15","8-11"
0,7550,"B","MORTGAGE",31200,23,"0-15","8-11"
0,9000,"B","MORTGAGE",48000,29,"0-15","11-13.5"
0,35000,"B","MORTGAGE",140000,25,"15-30","8-11"
1,8000,"A","MORTGAGE",87000,23,"15-30","0-8"
0,9600,"B","MORTGAGE",62000,30,"0-15","11-13.5"
0,7200,"A","MORTGAGE",157000,31,"0-15","0-8"
0,10000,"B","MORTGAGE",28000,22,"15-30","8-11"
0,14500,"B","MORTGAGE",32500,22,"0-15","11-13.5"
0,7000,"A","MORTGAGE",65000,23,"0-15","0-8"
0,20675,"A","MORTGAGE",73000,34,"0-15","Missing"
0,32000,"B","RENT",69996,34,"0-15","8-11"
0,6600,"D","RENT",36000,31,"0-15","13.5+"
0,1000,"A","RENT",44000,37,"0-15","0-8"
0,25000,"A","MORTGAGE",115000,28,"0-15","0-8"
0,11450,"A","RENT",40000,29,"0-15","8-11"
0,4400,"B","RENT",19200,22,"15-30","11-13.5"
0,4000,"C","RENT",86095,27,"0-15","13.5+"
1,5500,"C","RENT",57000,26,"0-15","11-13.5"
0,3050,"B","MORTGAGE",56160,23,"0-15","8-11"
0,1500,"B","RENT",52000,21,"0-15","11-13.5"
0,16000,"D","MORTGAGE",100000,30,"0-15","13.5+"
0,5500,"C","RENT",105000,28,"0-15","13.5+"
0,8000,"C","RENT",54000,28,"0-15","13.5+"
0,7000,"D","RENT",24000,24,"0-15","13.5+"
0,4200,"B","MORTGAGE",48000,24,"0-15","11-13.5"
0,2000,"C","RENT",35000,26,"0-15","13.5+"
0,2400,"B","MORTGAGE",33280,32,"0-15","8-11"
0,35000,"D","MORTGAGE",77000,22,"0-15","13.5+"
1,10000,"E","RENT",22000,32,"0-15","13.5+"
1,15000,"B","RENT",65000,25,"0-15","8-11"
0,8000,"B","RENT",45000,31,"0-15","8-11"
0,24000,"A","MORTGAGE",150000,24,"0-15","0-8"
0,7000,"B","MORTGAGE",90000,24,"0-15","8-11"
0,10000,"B","MORTGAGE",72000,27,"0-15","8-11"
0,11000,"A","MORTGAGE",51300,25,"0-15","0-8"
0,6000,"B","RENT",95000,24,"0-15","8-11"
0,16000,"B","RENT",43000,25,"0-15","11-13.5"
0,6150,"A","RENT",77385.19,24,"0-15","0-8"
0,23750,"C","MORTGAGE",110000,26,"15-30","11-13.5"
0,9000,"C","MORTGAGE",65100,23,"0-15","13.5+"
0,14300,"B","OWN",44390,23,"0-15","8-11"
0,10000,"A","RENT",20000,22,"0-15","0-8"
0,4000,"B","RENT",12360,37,"0-15","8-11"
0,5000,"A","MORTGAGE",100000,31,"0-15","0-8"
0,17000,"B","RENT",47000,23,"0-15","8-11"
0,13000,"A","MORTGAGE",75000,26,"0-15","0-8"
0,3600,"A","MORTGAGE",60000,46,"0-15","0-8"
0,15000,"C","MORTGAGE",74628,31,"0-15","11-13.5"
0,2000,"B","RENT",40000,24,"0-15","11-13.5"
0,7800,"B","MORTGAGE",26000,23,"0-15","8-11"
0,12000,"B","MORTGAGE",65000,26,"0-15","8-11"
0,5000,"C","MORTGAGE",48000,23,"0-15","13.5+"
0,11000,"A","MORTGAGE",55000,27,"0-15","0-8"
0,4500,"B","RENT",52000,39,"0-15","11-13.5"
0,14700,"A","RENT",37000,27,"15-30","0-8"
1,9000,"B","MORTGAGE",141000,54,"0-15","11-13.5"
0,6000,"D","RENT",55200,26,"0-15","13.5+"
0,14750,"C","MORTGAGE",42000,22,"0-15","11-13.5"
0,4200,"A","MORTGAGE",66000,31,"0-15","0-8"
0,11200,"A","MORTGAGE",40000,28,"0-15","0-8"
0,6000,"A","RENT",65000,31,"0-15","0-8"
0,4000,"A","RENT",35000,29,"0-15","0-8"
0,35000,"C","RENT",65500,23,"0-15","13.5+"
0,8000,"C","MORTGAGE",130000,25,"0-15","11-13.5"
0,6000,"A","MORTGAGE",150000,32,"15-30","0-8"
0,8000,"B","RENT",65000,22,"0-15","8-11"
0,5000,"A","MORTGAGE",40000,29,"0-15","0-8"
0,15600,"A","MORTGAGE",86000,28,"15-30","0-8"
0,18000,"B","MORTGAGE",90722,28,"0-15","8-11"
0,35000,"D","MORTGAGE",98000,39,"0-15","13.5+"
0,2000,"D","RENT",32000,23,"0-15","13.5+"
0,6000,"C","MORTGAGE",42000,22,"15-30","11-13.5"
0,10000,"A","RENT",36000,24,"0-15","0-8"
0,15000,"A","MORTGAGE",90000,34,"0-15","0-8"
0,14000,"A","RENT",30000,22,"0-15","0-8"
0,13500,"A","RENT",185000,26,"0-15","0-8"
0,24000,"B","RENT",180000,36,"0-15","8-11"
0,2500,"F","RENT",28800,34,"0-15","13.5+"
0,5850,"B","RENT",44000,48,"0-15","8-11"
0,18000,"B","MORTGAGE",84000,24,"15-30","8-11"
1,2800,"C","OWN",17760,38,"Missing","Missing"
0,4000,"A","RENT",24960,29,"15-30","0-8"
0,5000,"D","MORTGAGE",120000,24,"15-30","13.5+"
0,8800,"B","RENT",108000,24,"0-15","8-11"
0,12000,"A","MORTGAGE",85920,20,"0-15","8-11"
0,12000,"A","RENT",57000,30,"15-30","0-8"
0,3500,"C","MORTGAGE",75000,26,"0-15","11-13.5"
0,5400,"C","RENT",18000,22,"0-15","13.5+"
0,20000,"B","MORTGAGE",89000,22,"0-15","8-11"
0,24000,"B","MORTGAGE",76000,22,"0-15","8-11"
0,2000,"C","RENT",67000,26,"0-15","Missing"
0,6500,"C","MORTGAGE",68000,25,"0-15","11-13.5"
0,10975,"A","MORTGAGE",125000,33,"0-15","0-8"
0,4000,"A","MORTGAGE",67000,24,"0-15","0-8"
0,8000,"A","MORTGAGE",65000,24,"0-15","0-8"
0,12000,"D","MORTGAGE",54000,25,"0-15","13.5+"
0,3000,"E","RENT",44000,27,"15-30","13.5+"
0,3000,"B","MORTGAGE",45600,23,"Missing","11-13.5"
